Customer ID,Name,Surname,Gender,Birthdate,Transaction Amount,Date,Merchant Name,Category
300021,Kunal,Raj,M,11/6/1996,790,7/18/2023,Zara,Fashion
300022,Varsha,Das,F,12/14/1999,1120.45,6/10/2023,Amazon,Electronics
300023,Rajesh,Murthy,M,4/21/1993,225,8/27/2023,Swiggy,Food
300024,Nidhi,Shekhar,F,10/3/2000,1780.99,4/16/2023,Apple Store,Electronics
300025,Sachin,Pillai,M,9/8/1991,540.5,10/3/2023,Croma,Electronics
300026,Anushka,Mehta,F,2/19/1995,899.99,3/11/2023,Myntra,Fashion
300027,Arjun,Rao,M,6/30/1998,450.25,8/5/2023,KFC,Food
300028,Rekha,Patil,F,12/23/1997,2340,11/9/2023,MakeMyTrip,Travel
300029,Deepak,Singh,M,2/15/1994,350.5,6/14/2023,Dominos,Restaurant
300030,Megha,Shah,F,3/20/1999,1025,10/18/2023,Nykaa,Cosmetic
300031,Suresh,Yadav,M,11/11/1993,1950,1/9/2023,TataCliq,Fashion
300032,Pallavi,Reddy,F,8/26/1998,355,5/7/2023,Amazon,Books
300033,Vivek,Jain,M,4/2/1992,2850,7/15/2023,Airbnb,Travel
300034,Shalini,Krishna,F,12/30/1996,650.4,8/28/2023,HM,Fashion
300035,Rohan,Joseph,M,9/9/2001,495,10/6/2023,Puma,Sports
300036,Anita,Warrier,F,3/27/1995,1240.99,6/3/2023,Croma,Electronics
300037,Keshav,Sharma,M,5/14/1998,860.9,4/11/2023,Zara,Fashion
300038,Sindhu,Nair,F,2/1/2000,3400,3/22/2023,Tanishq,Jewellery
300039,Suraj,Menon,M,8/16/1993,275.5,2/18/2023,Swiggy,Food
300040,Neha,Kapoor,F,12/3/1997,1420,12/2/2023,Amazon,Electronics
300041,Amit,Gupta,M,3/23/1994,720,7/19/2023,HM,Fashion
300042,Kavya,Shetty,F,10/11/1998,1550.3,6/25/2023,Flipkart,Fashion
300043,Shreyas,Patil,M,4/29/1995,2300,10/29/2023,Airbnb,Travel
300044,Ritika,Jain,F,6/8/1999,370.4,9/4/2023,Starbucks,Restaurant
300045,Manoj,Rao,M,7/17/1993,670,5/18/2023,BigBazaar,Groceries
300046,Geeta,Iyer,F,1/1/1996,230.5,4/14/2023,Dominos,Food
300047,Karthik,Menon,M,11/5/1992,960.9,8/21/2023,Decathlon,Sports
300048,Anushri,Pai,F,3/10/1998,1180,2/22/2023,Nykaa,Cosmetic
300049,Bhavesh,Joshi,M,9/19/1990,2580.45,6/2/2023,MakeMyTrip,Travel
300050,Meenakshi,Reddy,F,4/24/1999,399.99,7/28/2023,Amazon,Books
300051,Yash,Sharma,M,12/22/1996,1430,10/1/2023,Croma,Electronics
300052,Divya,Menon,F,2/28/1997,480,6/16/2023,KFC,Food
300053,Harish,Varma,M,1/13/1994,2350.99,11/12/2023,Tanishq,Jewellery
300054,Preethi,Iyer,F,5/2/1998,310.45,3/27/2023,Dominos,Restaurant
